rank,team,tooltip_team,obpr,dbpr,bpr,opponent_adjust,pace_adjust,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,roster_rank,runs_per_game,runs_conceded_per_game,runs_margin,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff,color_str_Diff,color_tempo_Diff,tooltip_str_Diff,tooltip_tempo_Diff
91,Kansas State,Kansas State 📉,3.88110024479913,3.00915199432438,6.89025223912351,-65.4231444312104,52.4778537500891,95,102,72.84628305,10,90,340,75,0.4375,0.75,-0.3125,14,24,12,20,#FFEDD7,#FFF0DE,#FFEED9,#104EA2,#FAA47E,Kansas State plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Kansas State plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
92,Notre Dame,Notre Dame 📉🤕,4.86124379817625,1.9878886403118,6.84913243848805,-28.9589741850556,-36.6477327831974,82,123,67.5985463,241,95,242,78,0.451612903225806,0.483870967741935,-0.0322580645161291,14,15,13,18,#FFE9CD,#FFF5E9,#FFEEDA,#84B3CB,#A5C1C2,Notre Dame plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Notre Dame plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
93,Xavier,Xavier,6.30846645020407,0.332407904427773,6.64087435463184,-3.31177311297001,46.8143263540889,70,161,71.20031815,37,91,101,89,0.548387096774194,0.612903225806452,-0.0645161290322581,17,19,14,17,#FFE2BF,#FFFDFB,#FFEFDB,#EFF6DE,#F9AB85,Xavier performs at a similar level against both good and bad teams.,Xavier plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
94,Illinois State,Illinois State 💥,2.00026904396908,4.61934648750536,6.61961553147444,-12.8579386800256,7.39568222354595,129,66,68.0513096,216,92,1,99,0.548387096774194,0.387096774193548,0.161290322580645,17,12,19,12,#FFF6EA,#FFE8CC,#FFEFDB,#C3DED8,#F0DDB3,Illinois State performs at a similar level against both good and bad teams.,Illinois State performs at a similar level regardless of the pace of the game.
95,Butler,Butler 📉🤕,5.06804490089259,1.3090314410976,6.3770763419902,-60.6920931473152,47.8442372873912,81,138,69.7325637,114,94,266,92,0.483870967741935,0.354838709677419,0.129032258064516,15,11,16,15,#FFE8CB,#FFF8F0,#FFEFDC,#215AA8,#F9AA84,Butler plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,Butler plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
96,DePaul,DePaul 🤕,0.0975161877551977,6.12789869298267,6.22541488073786,-11.6118979673116,-42.4994047714195,169,46,67.293242,263,101,338,87,0.387096774193548,0.419354838709677,-0.0322580645161291,12,13,16,15,#FFFEFE,#FFE1BC,#FFF0DD,#C9E1D9,#99BBC3,DePaul performs at a similar level against both good and bad teams.,DePaul plays better in slower paced games. They have stronger performances in games with less possessions but are worse in games with more possessions.
97,Oregon,Oregon 🤕,1.03703378008148,4.45228524671475,5.48931902679623,-21.8866224647601,77.0426200522866,146,69,67.2700282,265,96,115,48,0.28125,0.4375,-0.15625,9,14,12,20,#FFFAF4,#FFE9CE,#FFF1E1,#99C7D2,#FE926E,Oregon plays a little worse against good teams than bad teams. They tend to play slightly better than expected against weaker opposition but are slightly worse against tougher opponents.,Oregon plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
98,South Carolina,South Carolina,2.58069981447124,2.89968979945066,5.4803896139219,-81.9671768317091,15.9923966765516,121,104,67.3277679,260,97,283,98,0.354838709677419,0.483870967741935,-0.129032258064516,11,15,13,18,#FFF3E4,#FFF1DF,#FFF1E1,#00429D,#F2D2A9,South Carolina plays much worse against good teams than bad teams. They tend to have their best performances against weaker opponents but really struggle against stronger teams on their schedule.,South Carolina performs at a similar level regardless of the pace of the game.
99,UNC Wilmington,UNC Wilmington,2.98171954170337,2.49519865738003,5.47691819908339,18.0954431469561,-22.6186650032069,113,108,66.33850135,304,98,292,111,0.533333333333333,0.433333333333333,0.1,16,13,24,6,#FFF1E0,#FFF2E3,#FFF1E1,#FFB7AB,#C1CFBF,UNC Wilmington plays a little better against good teams than bad teams. They are slightly better than expected against tough opposition but are slightly worse against weaker opponents.,UNC Wilmington plays a little better in slower paced games. They have slightly stronger performances in games with less possessions but are a little worse in games with more possessions.
100,Colorado State,Colorado State,6.14882081243084,-0.672807589497337,5.4760132229335,-8.9161103226454,51.8740292328224,71,185,65.2751683,347,99,119,102,0.366666666666667,0.3,0.0666666666666667,11,9,19,11,#FFE3C0,#F7FAFC,#FFF1E1,#D5E8DA,#FAA57F,Colorado State performs at a similar level against both good and bad teams.,Colorado State plays better in faster paced games. They have stronger performances in games with more possessions but are worse in games with less possessions.
