current_team,logo
James Madison,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/256.png&h=200&w=200
Kansas,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas City,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/140.png&h=200&w=200
Kansas St.,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Kennesaw St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/338.png&h=200&w=200
Kent St.,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
Kentucky,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
La Salle,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2325.png&h=200&w=200
Lafayette,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/322.png&h=200&w=200
Lamar,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2320.png&h=200&w=200
Le Moyne,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2330.png&h=200&w=200
Lehigh,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2329.png&h=200&w=200
Liberty,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Lindenwood,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2815.png&h=200&w=200
Lipscomb,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/288.png&h=200&w=200
Little Rock,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2031.png&h=200&w=200
LIU,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/112358.png&h=200&w=200
Long Beach St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/299.png&h=200&w=200
Longwood,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2344.png&h=200&w=200
Louisiana,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png
Louisiana Monroe,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2433.png&h=200&w=200
Louisiana Tech,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Louisville,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
Loyola Chicago,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2350.png&h=200&w=200
Loyola Marymount,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2351.png&h=200&w=200
Loyola MD,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2352.png&h=200&w=200
LSU,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Maine,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/311.png&h=200&w=200
Manhattan,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2363.png&h=200&w=200
Marist,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2368.png&h=200&w=200
Marquette,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/269.png&h=200&w=200
Marshall,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
Maryland,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Maryland Eastern Shore,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2379.png&h=200&w=200
Massachusetts,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/113.png&h=200&w=200
McNeese,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2377.png&h=200&w=200
Memphis,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Mercer,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2382.png&h=200&w=200
Mercyhurst,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2385.png&h=200&w=200
Merrimack,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2771.png&h=200&w=200
Miami OH,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png
Miami,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
Michigan,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Michigan St.,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Middle Tennessee,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
Milwaukee,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/270.png&h=200&w=200
Minnesota,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Mississippi,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
Mississippi St.,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png
Mississippi Valley St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2400.png&h=200&w=200
Missouri,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png
Missouri St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2623.png&h=200&w=200
Monmouth,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2405.png&h=200&w=200
Montana,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/149.png&h=200&w=200
Montana St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/147.png&h=200&w=200
Morehead St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2413.png&h=200&w=200
Morgan St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2415.png&h=200&w=200
Mount St. Mary's,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/116.png&h=200&w=200
Murray St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/93.png&h=200&w=200
N.C. State,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png
Navy,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
Nebraska,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Nebraska Omaha,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2437.png&h=200&w=200
Nevada,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
New Hampshire,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/160.png&h=200&w=200
New Mexico,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
New Mexico St.,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png
New Orleans,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2443.png&h=200&w=200
Niagara,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/315.png&h=200&w=200
Nicholls,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2447.png&h=200&w=200
NJIT,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2885.png&h=200&w=200
Norfolk St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2450.png&h=200&w=200
North Alabama,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2453.png&h=200&w=200
North Carolina,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
North Carolina A&T,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2448.png&h=200&w=200
North Carolina Central,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2428.png&h=200&w=200
North Dakota,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/155.png&h=200&w=200
North Dakota St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2449.png&h=200&w=200
North Florida,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2454.png&h=200&w=200
North Texas,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png
Northeastern,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/111.png&h=200&w=200
Northern Arizona,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2464.png&h=200&w=200
Northern Colorado,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2458.png&h=200&w=200
Northern Illinois,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
Northern Iowa,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2460.png&h=200&w=200
Northern Kentucky,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/94.png&h=200&w=200
Northwestern,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Northwestern St.,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2466.png&h=200&w=200
Notre Dame,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Oakland,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2473.png&h=200&w=200
Ohio,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
Ohio St.,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Oklahoma,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Oklahoma St.,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
